fid,latitude,longitude,LONGTITUDE
"624",40.70088,-73.91831,
"625",40.68469,-73.93467,
"626",40.70217,-73.93737,
"627",40.68336,-73.91449,
"628",40.69904,-73.91282,
"629",40.70914,-73.90737,
"630",40.70399,-73.91195,
"631",40.69709,-73.93538,
"632",40.68459,-73.93985,
"633",40.68446,-73.93956,
"634",40.70532,-73.93868,
"635",40.68245,-73.91951,
"636",40.68669,-73.93452,
"637",40.70069,-73.91114,
"638",40.69962,-73.94102,
"639",40.7058,-73.93803,
"640",40.68875,-73.92377,
"641",40.68227,-73.93305,
"642",40.69505,-73.93161,
"643",40.70801,-73.9011,
"644",40.68994,-73.92125,
"645",40.70472,-73.93784,
"646",40.68901,-73.94054,
"647",40.682,-73.92246,
"648",40.68403,-73.93641,
"649",40.68549,-73.93532,
"650",40.68517,-73.9369,
"651",40.69755,-73.92748,
"652",40.69148,-73.9388,
"653",40.70451,-73.92685,
"654",40.69756,-73.92209,
"655",40.69793,-73.92775,
"656",40.69985,-73.94001,
"657",40.68728,-73.94104,
"658",40.70227,-73.92926,
"659",40.68068,-73.92874,
"660",40.68321,-73.93666,
"661",40.69564,-73.93335,
"662",40.68608,-73.92347,
"663",40.68497,-73.93669,
"664",40.686,-73.93793,
"665",40.68351,-73.93224,
"666",40.68063,-73.91156,
"667",40.70146,-73.92792,
"668",40.70365,-73.90351,
"669",40.6952,-73.92396,
"670",40.6861,-73.91241,
"671",40.68541,-73.91211,
"672",40.70104,-73.91813,
"673",40.70104,-73.92278,
"674",40.70125,-73.94061,
"675",40.69914,-73.93591,
"676",40.70883,-73.94068,
"677",40.69435,-73.93294,
"678",40.70746,-73.92054,
"679",40.69528,-73.93079,
"680",40.6971,-73.92046,
"681",40.69113,-73.91501,
"682",40.68521,-73.93707,
"683",40.68084,-73.93075,
"684",40.70154,-73.92154,
"685",40.70252,-73.9279,
"686",40.69918,-73.92886,
"687",40.70503,-73.91433,
"688",40.70608,-73.93223,
"689",40.70306,-73.93629,
"690",40.70755,-73.92277,
"691",40.68584,-73.92294,
"692",40.70313,-73.93566,
"693",40.68258,-73.93893,
"694",40.70338,-73.91374,
"695",40.68517,-73.93473,
"696",40.68736,-73.92827,
"697",40.68781,-73.91421,
"698",40.68779,-73.91407,
"699",40.68023,-73.91047,
"700",40.69666,-73.93548,
"701",40.69038,-73.91462,
"702",40.70168,-73.92845,
"703",40.70323,-73.92836,
"704",40.68657,-73.94072,
"705",40.70161,-73.92919,
"706",40.68207,-73.93279,
"707",40.69207,-73.92312,
"708",40.6913,-73.92934,
"709",40.70264,-73.91702,
"710",40.69093,-73.91291,
"711",40.68354,-73.92612,
"712",40.68814,-73.93089,
"713",40.70737,-73.91439,
"714",40.70645,-73.9379,
"715",40.68649,-73.92783,
"716",40.69545,-73.92336,
"717",40.69047,-73.91565,
"718",40.6987,-73.91578,
"719",40.69058,-73.91471,
"720",40.69959,-73.92975,
"721",40.68908,-73.91452,
"722",40.68587,-73.92094,
"723",40.69054,-73.91403,
"724",40.68552,-73.93581,
"725",40.69859,-73.92401,
"726",40.6904,-73.91538,
"727",40.6888,-73.93545,
"728",40.7027,-73.92512,
"729",40.70412,-73.93555,
"730",40.68175,-73.91144,
"731",40.70299,-73.93585,
"732",40.68382,-73.9215,
"733",40.68645,-73.92425,
"734",40.69296,-73.9242,
"735",40.68666,-73.91972,
"736",40.69712,-73.93325,
"737",40.69768,-73.93359,
"738",40.70588,-73.91464,
"739",40.70035,-73.92316,
"740",40.70376,-73.91765,
"741",40.70393,-73.91679,
"742",40.70479,-73.92316,
"743",40.68378,-73.93573,
"744",40.70043,-73.92167,
"745",40.70658,-73.93801,
"746",40.68928,-73.93153,
"747",40.69847,-73.92787,
"748",40.69467,-73.93333,
"749",40.68682,-73.92019,
"750",40.69054,-73.91446,
"751",40.69347,-73.90703,
"752",40.70458,-73.94095,
"753",40.68802,-73.91474,
"754",40.69034,-73.91666,
"755",40.6969,-73.93435,
"756",40.68237,-73.91977,
"757",40.69289,-73.92312,
"758",40.6874,-73.9383,
"759",40.68742,-73.92825,
"760",40.69682,-73.91458,
