fid,LATITUDE,LONGITUDE
"142","40.6987138137378","-73.9513337043601"
"143","40.698266088554","-73.951681316449"
"144","40.6983083816728","-73.9512661409893"
"145","40.6991736237202","-73.9522415581254"
"146","40.6992015588601","-73.9520172217934"
"147","40.6990002392493","-73.9519671469789"
"148","40.697679306315","-73.9519475090282"
"149","40.697706944823","-73.951689327142"
"150","40.6979475673887","-73.9516169870493"
"151","40.6985617856287","-73.9522473846695"
"152","40.6982324888852","-73.9521821501388"
"153","40.6991499087399","-73.9530006772137"
"154","40.6991806706162","-73.9527618320333"
"155","40.6987792770752","-73.952584265621"
"156","40.6987462599246","-73.9528454308264"
"157","40.6985474909571","-73.9528020477262"
"158","40.6981293726159","-73.952723975551"
"159","40.6979297521272","-73.9526772466017"
"160","40.6979644686055","-73.9524149675586"
"161","40.6975126769638","-73.9526791766048"
"162","40.6975389072412","-73.9524392246413"
"163","40.6970586984498","-73.9498993786772"
"164","40.6972651164651","-73.9499527903296"
"165","40.6972363449177","-73.9501994397355"
"166","40.6964029140677","-73.9498073335131"
"167","40.696168466614","-73.9497539441255"
"168","40.6966960942767","-73.9500875887657"
"169","40.6966707306632","-73.9503587839958"
"170","40.6964872524952","-73.9503220949194"
"171","40.6968186141874","-73.9509141014959"
"172","40.6970479374396","-73.9509005416012"
"173","40.6970817983538","-73.9506349185583"
"174","40.6961449099121","-73.9505204753307"
"175","40.6959435967741","-73.9504871464613"
"176","40.695981689553","-73.9501891606811"
"177","40.6964122153105","-73.9512972135048"
"178","40.6964581211889","-73.9508934866003"
"179","40.69693854505","-73.951806186458"
"180","40.6969757972678","-73.9515227067301"
"181","40.6967489752618","-73.9514202041914"
"182","40.6960172035489","-73.951531665638"
"183","40.6958235337395","-73.9514949799251"
"184","40.6957854319687","-73.9517795722702"
"185","40.6964594607255","-73.9521647102041"
"186","40.6964950228936","-73.9518968563093"
"187","40.6963089939605","-73.9518534683015"
"188","40.696767545349","-73.9524763936941"
"189","40.6969688638752","-73.9525242369244"
"190","40.6970018862964","-73.9522753550252"
"191","40.6961077350281","-73.9523212859748"
