fid,ID,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude,birth year,gender
"108","266",2020/7/6 0:23,2020/7/6 0:30,"467",Dean St & 4 Ave,40.68312489,-73.97895137,Bedford Ave & Bergen St,40.676368,-73.952918,"1994","1"
"109","270",2020/7/6 0:23,2020/7/6 1:52,"3158",W 63 St & Broadway,40.77163851,-73.98261428,E 13 St & Avenue A,40.72966729,-73.98067966,"1969","0"
"110","271",2020/7/6 0:24,2020/7/6 0:39,"3263",Cooper Square & Astor Pl,40.72951496,-73.9907527,Grand St & Elizabeth St,40.718822,-73.99596,"1969","0"
"111","272",2020/7/6 0:24,2020/7/6 0:30,"3842",Bushwick Ave & Dekalb Ave,40.69502,-73.92825,Eldert St & Bushwick Ave,40.68652,-73.91321,"1969","0"
"112","273",2020/7/6 0:24,2020/7/6 1:03,"2006",Central Park S & 6 Ave,40.76590936,-73.97634151,Lenox Ave & W 111 St,40.7987859,-73.9523,"1963","2"
"113","278",2020/7/6 0:24,2020/7/6 0:32,"3927",Lenox Ave & W 133 St,40.81296,-73.941878,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,"2001","0"
"114","279",2020/7/6 0:24,2020/7/6 0:33,"239",Willoughby St & Fleet St,40.69196566,-73.9813018,Willoughby Ave & Hall St,40.69196035,-73.96536851,"1991","1"
"115","280",2020/7/6 0:24,2020/7/6 0:28,"3119",Vernon Blvd & 50 Ave,40.74232744,-73.95411749,Center Blvd & 51 Ave,40.74336608,-73.95960689,"1984","2"
"116","281",2020/7/6 0:25,2020/7/6 1:52,"3158",W 63 St & Broadway,40.77163851,-73.98261428,E 13 St & Avenue A,40.72966729,-73.98067966,"1969","0"
"117","285",2020/7/6 0:25,2020/7/6 0:50,"447",8 Ave & W 52 St,40.76370739,-73.9851615,Edgecombe Ave & W 141 St,40.820681,-73.945144,"1987","1"
"118","286",2020/7/6 0:26,2020/7/6 0:31,"3628",Lenox Ave & W 117 St,40.8025566,-73.9490782,E 118 St & 3 Ave,40.799139,-73.9389152,"1995","1"
"119","290",2020/7/6 0:26,2020/7/6 0:40,"3799",6 Ave & W 34 St,40.74964,-73.98805,E 11 St & 2 Ave,40.73047309,-73.98672378,"1983","2"
"120","291",2020/7/6 0:27,2020/7/6 0:33,"3429",Hanson Pl & Ashland Pl,40.68506807,-73.9779076,Baltic St & 5 Ave,40.6795766,-73.97854971,"1988","2"
"121","293",2020/7/6 0:27,2020/7/6 0:38,"3686",Gansevoort St & Hudson St,40.7394482,-74.00507033,North Moore St & Greenwich St,40.72019521,-74.01030064,"1970","2"
"122","298",2020/7/6 0:28,2020/7/6 0:45,"3572",34 Ave & 38 St,40.756913,-73.921631,28 Ave & 35 St,40.7671,-73.9169858,"1994","2"
"123","299",2020/7/6 0:28,2020/7/6 1:15,"3842",Bushwick Ave & Dekalb Ave,40.69502,-73.92825,Stockholm St & Wilson Ave,40.699304,-73.923044,"1989","2"
"124","300",2020/7/6 0:28,2020/7/6 0:45,"3763",Wyckoff Av & Jefferson St,40.707165,-73.923711,Division Ave & Hooper St,40.70684203,-73.9544354,"1988","1"
"125","301",2020/7/6 0:28,2020/7/6 0:46,"3711",E 13 St & Avenue A,40.72966729,-73.98067966,Spruce St & Nassau St,40.71146364,-74.00552427,"1997","1"
"126","302",2020/7/6 0:28,2020/7/6 0:41,"173",Broadway & W 49 St,40.76068327,-73.98452729,W 15 St & 7 Ave,40.73935542,-73.99931783,"1979","2"
"127","305",2020/7/6 0:28,2020/7/6 0:40,"505",6 Ave & W 33 St,40.74901271,-73.98848395,E 11 St & 2 Ave,40.73047309,-73.98672378,"1985","1"
"128","306",2020/7/6 0:29,2020/7/6 0:52,"505",6 Ave & W 33 St,40.74901271,-73.98848395,W 113 St & Broadway,40.805973,-73.964928,"1969","0"
"129","307",2020/7/6 0:29,2020/7/6 0:42,"3871",Bushwick Ave & Furman Ave,40.68281,-73.90623,Bushwick Ave & Dekalb Ave,40.69502,-73.92825,"1994","1"
"130","308",2020/7/6 0:29,2020/7/6 0:41,"4037",Roosevelt Island Tramway,40.757284,-73.9536,Southpoint Park,40.75370225,-73.95865202,"1977","2"
"131","309",2020/7/6 0:29,2020/7/6 0:52,"505",6 Ave & W 33 St,40.74901271,-73.98848395,W 113 St & Broadway,40.805973,-73.964928,"1989","1"
"132","312",2020/7/6 0:29,2020/7/6 0:42,"173",Broadway & W 49 St,40.76068327,-73.98452729,W 15 St & 6 Ave,40.73804614,-73.99642959,"1969","0"
"133","319",2020/7/6 0:30,2020/7/6 0:43,"3518",Lenox Ave & W 126 St,40.808442,-73.9452087,Bradhurst Ave & W 148 St,40.825125,-73.941616,"2000","1"
